2026-05-19 16:55:39 | INFO     | CommercialPage | Selected property type: Shop
2026-05-19 16:55:39 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 16:55:41 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 16:55:41 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 16:55:51 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 16:55:58 | INFO     | CommercialPage | Selected property type: Office Space
2026-05-19 16:55:58 | INFO     | CommercialPage | Searching commercial property: Delhi
2026-05-19 16:55:59 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 16:56:00 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 16:56:02 | INFO     | CommercialPage | Commercial results loaded successfully
