2026-05-19 17:45:05 | INFO     | CommercialPage | Selected property type: Shop
2026-05-19 17:45:07 | INFO     | CommercialPage | Searching commercial property: 
2026-05-19 17:45:08 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 17:45:11 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 17:45:48 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 17:46:36 | INFO     | CommercialPage | Selected property type: Office Space
2026-05-19 17:46:38 | INFO     | CommercialPage | Searching commercial property: 
2026-05-19 17:46:39 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 17:46:42 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 17:47:19 | INFO     | CommercialPage | Commercial results loaded successfully
