2026-05-19 14:39:58 | INFO     | CommercialPage | Selected property type: Shop
2026-05-19 14:39:58 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 14:39:59 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 14:39:59 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 14:40:02 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 14:40:08 | INFO     | CommercialPage | Selected property type: Office Space
2026-05-19 14:40:08 | INFO     | CommercialPage | Searching commercial property: Delhi
2026-05-19 14:40:09 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 14:40:09 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 14:40:11 | INFO     | CommercialPage | Commercial results loaded successfully
