2026-05-20 16:59:30 | INFO     | CommercialPage | Opened commercial property page for Noida
2026-05-20 16:59:31 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_commercial_city_page_Noida_20260520_165930.png
2026-05-20 16:59:33 | INFO     | CommercialPage | Page content loaded for Noida
2026-05-20 16:59:35 | INFO     | CommercialPage | Scrolled down successfully
2026-05-20 16:59:37 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_contact_button_visible_Noida_20260520_165935.png
2026-05-20 16:59:38 | INFO     | CommercialPage | Contact button located successfully
2026-05-20 16:59:42 | INFO     | CommercialPage | View Number button clicked successfully
2026-05-20 16:59:50 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_view_number_clicked_Noida_20260520_165947.png
2026-05-20 16:59:50 | INFO     | CommercialPage | Login/OTP popup displayed successfully
2026-05-20 16:59:50 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_login_popup_displayed_Noida_20260520_165950.png
