2026-05-22 07:54:45 | INFO     | CommercialPage | Opened commercial property page for Noida
2026-05-22 07:54:46 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_commercial_city_page_Noida_20260522_075445.png
2026-05-22 07:54:48 | INFO     | CommercialPage | Page content loaded for Noida
2026-05-22 07:54:50 | INFO     | CommercialPage | Scrolled down successfully
2026-05-22 07:54:50 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_contact_button_visible_Noida_20260522_075450.png
2026-05-22 07:54:50 | INFO     | CommercialPage | Contact button located successfully
2026-05-22 07:54:54 | INFO     | CommercialPage | View Number button clicked successfully
2026-05-22 07:55:00 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_view_number_clicked_Noida_20260522_075459.png
2026-05-22 07:55:00 | INFO     | CommercialPage | Login/OTP popup displayed successfully
2026-05-22 07:55:00 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_login_popup_displayed_Noida_20260522_075500.png
