2026-05-21 23:34:05 | INFO     | CommercialPage | Opened commercial property page for Noida
2026-05-21 23:34:05 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_commercial_city_page_Noida_20260521_233405.png
2026-05-21 23:34:07 | INFO     | CommercialPage | Page content loaded for Noida
2026-05-21 23:34:09 | INFO     | CommercialPage | Scrolled down successfully
2026-05-21 23:34:09 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_contact_button_visible_Noida_20260521_233409.png
2026-05-21 23:34:10 | INFO     | CommercialPage | Contact button located successfully
2026-05-21 23:34:13 | INFO     | CommercialPage | View Number button clicked successfully
2026-05-21 23:34:18 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_view_number_clicked_Noida_20260521_233418.png
2026-05-21 23:34:19 | INFO     | CommercialPage | Login/OTP popup displayed successfully
2026-05-21 23:34:19 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_login_popup_displayed_Noida_20260521_233419.png
