2026-05-21 13:02:35 | INFO     | CommercialPage | Opened commercial property page for Noida
2026-05-21 13:02:35 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_commercial_city_page_Noida_20260521_130235.png
2026-05-21 13:02:37 | INFO     | CommercialPage | Page content loaded for Noida
2026-05-21 13:02:39 | INFO     | CommercialPage | Scrolled down successfully
2026-05-21 13:02:39 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_contact_button_visible_Noida_20260521_130239.png
2026-05-21 13:02:39 | INFO     | CommercialPage | Contact button located successfully
2026-05-21 13:02:43 | INFO     | CommercialPage | View Number button clicked successfully
2026-05-21 13:02:49 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_view_number_clicked_Noida_20260521_130248.png
2026-05-21 13:02:49 | INFO     | CommercialPage | Login/OTP popup displayed successfully
2026-05-21 13:02:49 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_login_popup_displayed_Noida_20260521_130249.png
